employee_id,age,gender,education_level,department,job_role,tenure_months,last_performance_rating,promotions_last_3yrs,training_hours_completed,certifications_count,salary_band,compensation_percentile,bonus_received,hike_percent_last_year,avg_monthly_hours,work_life_balance_score,engagement_score,job_satisfaction,absenteeism_days,manager_tenure,manager_change_count,team_size,peer_feedback_score,current_project_risk_score,project_complexity_level,client_importance_score,attrition,best_fit_role,project_risk_flag
2223,44,Male,MBA,Audit,Senior Consultant,170,1,1,88,8,Low,31,0,6,122,3,28,2,24,119,1,7,4,10,Medium,93,1,Manager,0
2224,53,Female,Bachelor,Consulting,Manager,210,3,0,54,0,Mid,3,0,20,132,3,2,1,23,135,1,13,3,76,Low,72,1,Senior Manager,0
2225,32,Female,Bachelor,Consulting,Manager,86,5,0,172,2,Mid,12,0,16,216,1,93,2,21,118,4,5,4,32,Medium,79,0,Senior Manager,0
2226,43,Other,Bachelor,Consulting,Senior Consultant,178,5,1,36,7,Mid,38,0,11,176,4,32,2,2,180,3,18,2,77,Medium,0,0,Manager,0
2227,43,Female,Master,Consulting,Senior Consultant,227,4,1,154,0,Low,46,0,6,233,4,89,4,0,146,1,16,4,98,Medium,65,0,Manager,0
2228,46,Other,Master,Audit,Partner,204,5,0,179,8,High,94,0,15,189,2,2,4,5,231,3,16,5,44,High,12,0,Partner,0
2229,43,Female,Master,Tax,Partner,106,4,0,85,0,Mid,62,1,12,146,5,29,1,27,130,4,7,3,81,Medium,53,0,Partner,0
2230,49,Female,Bachelor,Risk Advisory,Consultant,220,5,1,126,8,Mid,70,1,18,138,5,79,3,3,103,4,7,4,10,Medium,64,0,Senior Consultant,0
2231,50,Female,Bachelor,Consulting,Manager,48,3,0,115,6,Mid,77,0,10,228,1,4,4,13,173,3,7,3,73,Low,20,0,Senior Manager,0
2232,34,Male,MBA,Risk Advisory,Senior Consultant,185,1,2,174,5,Mid,53,1,3,242,1,46,1,6,54,1,7,1,52,Medium,13,1,Manager,0
2233,39,Other,MBA,Risk Advisory,Senior Consultant,9,5,0,57,8,Mid,34,0,17,241,1,94,5,17,85,1,18,2,17,Medium,85,0,Manager,0
2234,23,Male,Bachelor,Consulting,Analyst,158,5,0,134,9,Low,5,1,22,179,4,35,4,7,204,0,12,2,15,Medium,45,1,Consultant,0
2235,50,Female,Master,Technology,Partner,146,3,0,140,3,Low,86,0,11,146,3,62,4,13,127,4,4,2,93,Low,58,0,Partner,0
2236,42,Male,Bachelor,Risk Advisory,Analyst,173,2,1,47,4,Low,73,0,13,115,3,42,5,7,150,0,8,4,6,Medium,45,1,Consultant,0
2237,36,Female,Bachelor,Technology,Senior Consultant,216,4,0,114,9,Mid,33,0,15,186,3,89,5,2,108,0,17,3,36,Medium,90,0,Manager,0
2238,48,Female,MBA,Tax,Manager,110,2,0,155,1,High,27,1,19,206,5,41,2,5,151,1,5,4,73,Low,21,1,Senior Manager,0
2239,52,Male,Master,Risk Advisory,Manager,83,1,0,172,2,Mid,12,0,1,188,3,54,2,9,147,2,17,4,37,Medium,78,0,Senior Manager,0
2240,36,Female,Bachelor,Audit,Analyst,78,2,1,183,6,Mid,18,0,25,241,5,46,2,8,177,2,17,3,29,Low,68,1,Consultant,0
2241,44,Male,Bachelor,Tax,Partner,66,1,0,162,4,Low,47,1,7,213,2,29,1,16,71,0,19,1,71,Medium,76,1,Partner,0
2242,45,Female,PhD,Tax,Consultant,139,4,0,124,7,High,42,1,22,126,2,54,2,2,145,3,14,4,17,Medium,29,0,Senior Consultant,0
2243,34,Male,MBA,Technology,Manager,90,3,0,54,2,Mid,73,0,1,210,3,26,2,10,83,4,6,3,1,Medium,88,0,Senior Manager,0
2244,43,Male,MBA,Consulting,Consultant,72,1,1,96,2,Mid,89,1,15,210,2,76,4,6,67,3,10,1,25,High,31,0,Senior Consultant,0
2245,58,Male,Master,Audit,Partner,195,4,0,164,0,Mid,30,1,0,243,1,10,5,19,145,2,12,2,99,High,10,0,Partner,1
2246,54,Female,Master,Audit,Analyst,15,3,0,136,0,Low,37,0,17,131,2,89,1,8,229,4,5,3,98,High,46,0,Consultant,1
2247,24,Male,Bachelor,Technology,Partner,109,2,0,113,1,Low,42,0,28,162,1,52,5,4,66,4,8,2,59,High,3,0,Partner,0
2248,40,Other,Bachelor,Technology,Senior Consultant,40,2,2,130,6,Low,16,1,8,240,2,58,2,18,85,3,11,3,62,Medium,88,0,Manager,0
2249,44,Male,Master,Tax,Partner,141,1,0,115,8,Mid,27,0,11,208,3,37,3,14,25,0,14,2,46,Medium,85,1,Partner,0
2250,50,Male,Master,Technology,Analyst,208,5,1,129,5,Low,23,0,22,151,3,96,2,14,44,4,2,4,88,High,0,0,Consultant,1
2251,51,Male,Bachelor,Consulting,Analyst,86,5,1,185,4,Low,70,0,14,123,1,92,2,11,26,3,13,4,14,Low,64,0,Consultant,0
2252,46,Male,MBA,Tax,Partner,33,3,1,21,3,High,95,1,9,241,2,21,2,20,189,4,8,5,59,Low,16,0,Partner,0
2253,58,Female,Bachelor,Tax,Analyst,126,2,0,23,3,Low,78,0,29,244,1,26,2,16,20,4,2,3,24,Low,54,1,Consultant,0
2254,29,Female,Bachelor,Tax,Senior Consultant,130,4,0,53,6,Low,27,0,28,198,1,96,5,11,113,0,14,4,99,Low,72,0,Manager,0
2255,37,Female,Bachelor,Audit,Consultant,109,3,0,144,0,Mid,17,0,17,218,4,41,1,3,88,4,11,1,65,Medium,53,1,Senior Consultant,0
2256,29,Male,Master,Audit,Partner,221,1,0,185,5,Mid,6,0,25,130,4,15,4,8,127,0,18,2,99,Medium,57,1,Partner,0
2257,22,Male,Bachelor,Tax,Analyst,110,1,0,185,0,Mid,78,1,8,90,1,53,4,13,98,1,12,4,9,Medium,47,0,Consultant,0
2258,26,Female,Bachelor,Consulting,Consultant,162,3,0,148,3,Low,83,0,13,193,5,79,2,28,22,1,19,2,55,Medium,43,0,Senior Consultant,0
2259,24,Other,Master,Risk Advisory,Senior Consultant,16,4,0,76,9,Low,10,0,4,102,3,7,2,20,206,4,9,4,84,Medium,2,1,Manager,0
2260,22,Male,Master,Tax,Partner,14,2,0,62,5,Low,45,1,20,243,3,39,3,18,170,3,13,4,63,Medium,60,1,Partner,0
2261,25,Female,Master,Technology,Analyst,231,2,0,190,1,High,56,0,11,131,3,3,3,21,138,3,14,2,70,High,66,1,Consultant,0
2262,56,Male,Bachelor,Risk Advisory,Consultant,46,4,0,107,4,Low,31,1,27,188,3,36,4,13,56,2,10,3,1,Medium,59,0,Senior Consultant,0
2263,53,Male,Master,Audit,Senior Consultant,50,2,1,114,9,High,91,0,4,179,4,9,1,26,200,2,16,4,33,Medium,88,1,Manager,0
2264,55,Female,Master,Audit,Manager,113,5,0,43,3,Low,40,0,7,111,4,31,2,25,142,2,16,5,58,Medium,87,0,Senior Manager,0
2265,46,Male,Bachelor,Risk Advisory,Analyst,133,5,0,167,2,High,3,0,14,152,1,6,5,20,16,3,18,5,77,Low,28,1,Consultant,0
2266,31,Female,MBA,Technology,Senior Consultant,43,4,0,74,9,Low,47,0,10,131,5,41,4,21,168,4,12,5,23,High,24,0,Manager,0
2267,42,Male,Master,Audit,Consultant,146,5,0,193,5,Low,92,1,7,179,1,52,3,14,52,3,19,2,91,Low,71,0,Senior Consultant,0
2268,48,Female,Bachelor,Audit,Partner,48,3,0,91,6,High,24,0,0,181,5,16,1,17,210,4,7,1,89,Medium,51,1,Partner,0
2269,48,Male,PhD,Tax,Consultant,192,2,0,117,1,Low,11,1,5,218,2,15,5,5,215,0,11,1,1,High,35,1,Senior Consultant,0
2270,23,Other,MBA,Consulting,Partner,154,3,0,194,5,Mid,75,0,23,115,5,34,1,13,149,3,19,3,95,Medium,86,0,Partner,0
2271,34,Male,PhD,Technology,Senior Consultant,202,4,0,173,9,Mid,31,0,6,132,5,10,1,7,199,3,14,2,28,Medium,84,0,Manager,0
2272,30,Female,Master,Tax,Senior Consultant,198,5,0,151,0,Mid,47,0,8,83,3,9,4,15,11,2,2,2,83,Low,83,0,Manager,0
2273,57,Female,Bachelor,Consulting,Consultant,142,3,1,71,9,High,78,0,3,241,5,27,1,5,222,3,7,5,6,Medium,6,0,Senior Consultant,0
2274,43,Other,Bachelor,Audit,Consultant,194,3,0,197,3,Low,43,1,5,132,5,16,3,25,154,1,9,1,38,Low,58,0,Senior Consultant,0
2275,47,Female,Master,Consulting,Partner,189,1,0,178,5,High,11,0,22,137,5,39,1,4,229,2,2,2,0,Medium,85,1,Partner,0
2276,33,Female,PhD,Audit,Analyst,219,3,1,98,2,High,56,0,14,164,3,15,1,6,237,0,6,1,2,Low,57,0,Consultant,0
2277,38,Male,Master,Tax,Consultant,201,5,0,119,8,Mid,6,0,20,169,3,84,2,21,92,0,11,3,50,Medium,77,0,Senior Consultant,0
2278,35,Male,MBA,Audit,Analyst,205,2,1,105,2,Mid,1,0,6,143,1,52,3,2,111,0,15,5,13,High,39,0,Consultant,0
2279,35,Male,Bachelor,Consulting,Analyst,21,2,0,131,3,High,76,0,25,217,4,81,4,9,7,3,6,1,8,Low,19,0,Consultant,0
2280,55,Male,Master,Tax,Analyst,55,2,1,121,4,Low,2,1,10,144,3,46,3,3,90,1,17,1,64,Medium,48,1,Consultant,0
2281,41,Other,PhD,Consulting,Senior Consultant,116,5,0,158,9,Low,36,1,18,141,4,3,5,27,55,2,10,2,34,Low,5,0,Manager,0
2282,32,Male,MBA,Consulting,Senior Consultant,108,2,0,192,7,Low,73,1,19,93,3,38,1,12,159,2,12,1,29,Low,88,1,Manager,0
2283,37,Female,PhD,Risk Advisory,Analyst,2,2,1,29,9,Low,80,0,7,164,1,4,2,8,177,2,17,2,99,High,18,1,Consultant,1
2284,52,Female,MBA,Audit,Analyst,131,4,1,199,1,High,41,0,9,187,5,27,1,11,107,1,14,2,29,Low,76,0,Consultant,0
2285,27,Female,Master,Audit,Senior Consultant,13,4,0,39,3,Low,98,0,1,82,2,36,2,20,166,2,12,5,59,Medium,8,0,Manager,0
2286,40,Female,Master,Consulting,Partner,21,1,0,116,1,Low,65,0,5,84,3,83,2,0,18,3,19,4,80,Medium,63,0,Partner,0
2287,58,Male,PhD,Audit,Manager,161,1,0,122,2,Low,33,1,24,249,1,73,2,23,9,0,14,3,3,Medium,9,0,Senior Manager,0
2288,25,Female,Master,Technology,Consultant,148,3,0,13,2,Low,66,0,28,142,2,56,5,4,46,1,2,1,63,Medium,63,0,Senior Consultant,0
2289,25,Male,Bachelor,Audit,Analyst,125,3,1,43,6,Low,93,1,7,178,2,61,4,16,105,4,3,2,55,Medium,47,0,Consultant,0
2290,41,Other,Master,Tax,Senior Consultant,228,3,0,161,4,Mid,73,0,25,209,5,63,3,2,226,1,19,3,25,Medium,29,0,Manager,0
2291,31,Female,Master,Audit,Analyst,146,1,2,166,1,Low,8,0,28,154,5,9,4,26,55,1,19,3,69,Low,11,1,Consultant,0
2292,45,Other,Bachelor,Technology,Analyst,217,2,0,131,5,Low,92,1,12,150,5,54,2,5,134,1,7,5,88,Medium,13,0,Consultant,0
2293,56,Male,MBA,Consulting,Analyst,237,3,0,154,3,Mid,3,0,27,211,3,17,3,11,220,4,13,1,48,Medium,28,1,Consultant,0
2294,47,Male,Bachelor,Audit,Analyst,38,2,1,41,1,Low,44,0,6,139,5,64,4,12,228,3,8,4,82,Medium,31,0,Consultant,0
2295,58,Male,Master,Tax,Partner,25,2,0,138,2,Mid,11,0,28,117,1,36,1,22,185,1,8,2,98,Medium,49,1,Partner,0
2296,59,Male,MBA,Technology,Consultant,166,1,1,117,1,Low,1,1,10,215,5,47,5,16,85,1,8,4,82,Low,24,1,Senior Consultant,0
2297,42,Male,Master,Risk Advisory,Consultant,143,4,1,86,3,Mid,48,1,15,136,3,50,1,19,234,3,9,5,69,High,50,0,Senior Consultant,0
2298,42,Female,MBA,Consulting,Senior Consultant,209,4,1,105,2,Low,70,0,22,131,3,94,4,21,44,2,5,5,9,Medium,87,0,Manager,0
2299,31,Male,Bachelor,Consulting,Partner,238,5,1,31,7,Low,42,1,7,178,4,38,3,19,204,3,15,1,81,Medium,99,0,Partner,0
2300,59,Female,PhD,Consulting,Partner,228,4,2,122,3,Mid,77,1,10,153,2,17,1,7,198,1,7,3,46,Medium,69,0,Partner,0
2301,25,Female,Bachelor,Technology,Consultant,157,3,0,49,9,Mid,45,0,17,203,5,56,5,20,165,2,3,4,42,Medium,54,0,Senior Consultant,0
2302,41,Female,Bachelor,Audit,Senior Consultant,97,1,1,52,2,Mid,91,0,23,178,2,86,1,28,164,0,8,4,84,Medium,67,0,Manager,0
2303,38,Male,MBA,Audit,Partner,192,2,0,131,9,Mid,87,1,4,172,3,79,3,21,63,0,5,5,27,Low,91,0,Partner,0
2304,28,Male,MBA,Audit,Senior Consultant,32,1,1,146,8,Mid,34,0,7,156,1,89,3,18,220,3,2,2,33,Medium,96,0,Manager,0
2305,25,Female,Bachelor,Audit,Consultant,200,5,1,70,8,Mid,32,0,23,224,5,98,5,3,122,0,5,1,74,Medium,62,0,Senior Consultant,0
2306,50,Male,PhD,Consulting,Analyst,43,5,0,32,2,Low,61,1,7,139,2,78,3,5,124,3,5,1,48,High,43,0,Consultant,0
2307,35,Female,Master,Risk Advisory,Partner,13,5,0,77,3,High,93,0,17,98,4,98,2,17,173,3,17,3,87,Low,10,0,Partner,0
2308,24,Male,PhD,Consulting,Senior Consultant,209,2,0,124,6,Low,6,0,8,130,3,77,5,5,225,2,17,3,38,Low,51,1,Manager,0
2309,45,Female,Master,Risk Advisory,Analyst,213,5,1,76,2,High,78,0,4,106,1,31,5,6,199,2,16,1,91,Low,13,0,Consultant,0
2310,58,Female,Master,Risk Advisory,Consultant,78,5,0,197,9,Mid,78,0,16,154,2,54,3,23,208,2,5,3,90,Medium,51,0,Senior Consultant,0
2311,37,Female,Master,Audit,Manager,25,5,1,122,8,Low,97,0,6,222,1,15,4,3,103,1,5,4,77,Medium,64,0,Senior Manager,0
2312,25,Male,Bachelor,Tax,Partner,49,2,0,82,6,Mid,88,1,2,83,3,68,2,12,120,3,17,1,86,Medium,75,0,Partner,0
2313,45,Male,Master,Technology,Partner,88,5,0,54,5,High,62,0,22,98,1,93,3,12,132,3,8,4,53,Medium,58,0,Partner,0
2314,55,Female,Master,Tax,Senior Consultant,120,3,0,8,5,Low,35,1,9,143,1,79,5,23,122,1,8,5,46,High,75,0,Manager,0
2315,51,Female,Bachelor,Risk Advisory,Consultant,225,1,1,189,7,Low,11,0,16,236,4,35,4,25,25,2,7,2,82,Medium,20,1,Senior Consultant,0
2316,39,Male,Bachelor,Tax,Consultant,136,5,0,61,8,Low,14,1,20,83,2,2,2,21,239,1,4,2,0,Medium,92,1,Senior Consultant,0
2317,40,Male,Bachelor,Risk Advisory,Partner,156,5,0,114,2,Mid,45,1,29,212,2,95,4,19,211,3,18,2,29,Low,59,0,Partner,0
2318,52,Male,MBA,Consulting,Partner,211,1,1,47,2,Low,26,0,27,107,2,0,1,18,57,1,8,2,4,Low,72,1,Partner,0
2319,40,Female,Master,Consulting,Senior Consultant,126,5,0,89,7,Low,90,0,9,84,2,83,3,3,30,2,6,1,99,Medium,74,0,Manager,0
2320,40,Male,MBA,Audit,Senior Consultant,11,5,0,67,2,Mid,40,0,14,239,2,96,2,18,165,3,5,3,11,Low,27,0,Manager,0
2321,43,Female,PhD,Technology,Manager,183,3,0,47,3,Low,34,0,25,117,3,30,4,22,78,0,9,2,57,Medium,48,0,Senior Manager,0
2322,45,Female,Master,Consulting,Analyst,10,4,1,91,6,Mid,79,0,22,184,3,83,2,14,186,2,17,1,75,Low,58,0,Consultant,0
2323,33,Female,PhD,Technology,Senior Consultant,59,2,0,154,6,Mid,92,0,5,167,4,6,5,20,192,3,15,4,12,Medium,56,1,Manager,0
2324,51,Female,Bachelor,Audit,Analyst,65,2,0,114,1,Low,95,0,9,92,1,20,5,11,49,2,11,2,65,Low,37,1,Consultant,0
2325,59,Female,Bachelor,Technology,Partner,133,1,0,54,1,High,66,0,24,196,3,6,3,29,165,4,8,5,70,Low,27,1,Partner,0
2326,52,Female,Master,Consulting,Manager,80,3,0,171,3,Mid,22,0,25,106,4,38,5,17,117,1,8,4,49,Low,9,1,Senior Manager,0
2327,57,Male,Master,Consulting,Manager,212,2,0,70,4,Low,41,1,19,185,3,28,2,21,90,4,3,3,56,High,7,1,Senior Manager,0
2328,40,Male,MBA,Tax,Manager,148,1,0,179,5,Mid,59,0,5,225,4,17,2,14,135,0,4,4,68,Medium,91,1,Senior Manager,0
2329,57,Female,Master,Tax,Consultant,92,1,2,56,6,Low,99,1,7,173,2,78,2,23,135,1,12,2,47,Medium,26,0,Senior Consultant,0
2330,51,Female,Bachelor,Tax,Partner,133,1,0,136,2,Mid,82,0,5,240,1,22,1,10,153,3,8,5,70,Medium,44,1,Partner,0
2331,54,Female,MBA,Technology,Consultant,112,2,1,97,0,Mid,32,1,16,121,5,18,3,10,68,1,14,1,91,High,34,1,Senior Consultant,1
2332,39,Male,Master,Consulting,Consultant,195,4,0,7,1,Low,35,0,18,128,3,50,1,11,218,2,5,4,81,Medium,84,0,Senior Consultant,0
2333,49,Female,Bachelor,Audit,Manager,158,1,0,183,0,Mid,70,1,25,141,1,46,2,28,62,3,18,4,21,Low,24,1,Senior Manager,0
2334,32,Male,Master,Risk Advisory,Consultant,87,5,0,9,1,Low,4,0,18,188,5,78,1,20,150,3,15,5,17,Low,49,0,Senior Consultant,0
2335,54,Female,PhD,Consulting,Partner,162,4,0,192,5,High,94,1,26,188,4,81,3,5,68,4,18,3,96,Medium,41,0,Partner,0
2336,38,Male,MBA,Tax,Partner,113,4,1,113,9,High,76,1,1,97,1,63,5,27,170,1,2,5,22,High,62,0,Partner,0
2337,27,Female,Master,Tax,Consultant,118,5,0,199,6,Low,8,0,26,239,3,70,1,21,17,3,8,3,28,Low,74,0,Senior Consultant,0
2338,25,Male,Bachelor,Technology,Partner,92,2,0,44,7,Low,53,0,27,245,3,98,3,1,96,0,13,4,48,Medium,13,0,Partner,0
2339,41,Male,Bachelor,Tax,Analyst,1,2,0,166,7,Mid,85,0,11,139,3,17,2,18,204,3,14,4,1,Medium,47,1,Consultant,0
2340,48,Female,Master,Technology,Consultant,112,3,0,45,9,Mid,31,0,22,159,2,53,3,0,202,0,15,3,60,High,57,0,Senior Consultant,0
2341,36,Male,MBA,Audit,Manager,155,2,0,16,6,Mid,22,0,20,184,3,60,5,22,58,4,7,3,10,Low,85,0,Senior Manager,0
2342,27,Female,Bachelor,Tax,Manager,119,3,0,81,1,Low,14,0,10,107,3,50,1,25,192,1,8,1,28,Medium,51,0,Senior Manager,0
2343,35,Female,Bachelor,Technology,Partner,120,1,1,127,8,Low,73,1,11,234,3,61,3,24,117,4,12,5,22,Low,3,0,Partner,0
2344,32,Female,PhD,Tax,Partner,191,2,1,114,4,Mid,33,1,12,90,3,61,4,5,222,0,3,2,68,Low,92,0,Partner,0
2345,30,Male,MBA,Technology,Manager,34,2,0,66,3,Mid,16,1,0,111,3,15,1,4,194,3,15,3,60,High,20,1,Senior Manager,0
2346,47,Female,Master,Consulting,Analyst,95,5,0,75,1,High,18,0,2,236,4,54,1,25,165,0,18,2,97,Medium,78,0,Consultant,0
2347,37,Female,Bachelor,Technology,Manager,32,1,0,189,7,Mid,16,1,18,85,3,88,1,16,26,0,18,5,75,High,7,1,Senior Manager,1
2348,26,Female,Bachelor,Risk Advisory,Consultant,116,3,0,67,9,Low,30,1,25,185,2,42,1,17,170,2,9,2,9,Low,69,0,Senior Consultant,0
2349,31,Female,Bachelor,Audit,Manager,199,1,2,163,3,Low,12,1,20,82,3,90,5,14,176,4,12,5,67,Low,1,1,Senior Manager,0
2350,24,Male,Master,Consulting,Senior Consultant,235,4,1,8,0,Mid,14,1,22,198,4,22,2,22,144,2,7,3,30,Medium,94,1,Manager,0
2351,34,Male,Bachelor,Audit,Analyst,230,5,0,162,5,High,94,1,24,182,2,17,1,4,57,3,8,2,42,Medium,63,0,Consultant,0
2352,51,Male,MBA,Consulting,Analyst,226,4,0,194,3,Mid,85,0,19,86,4,12,4,21,39,1,18,1,11,Medium,96,0,Consultant,0
2353,27,Male,PhD,Tax,Manager,174,3,0,51,6,High,6,0,5,82,5,66,4,28,61,0,5,2,60,Medium,34,0,Senior Manager,0
2354,38,Male,Bachelor,Technology,Senior Consultant,196,2,0,117,6,Low,24,0,4,151,1,28,4,2,212,4,17,4,6,Medium,7,1,Manager,0
2355,40,Female,Master,Tax,Consultant,211,2,0,89,9,Low,13,0,1,238,5,74,5,8,116,1,5,1,48,Medium,84,0,Senior Consultant,0
2356,56,Female,MBA,Audit,Manager,185,2,0,100,4,Mid,52,1,5,170,5,93,3,10,153,2,2,3,57,Low,100,0,Senior Manager,0
2357,47,Male,PhD,Audit,Consultant,22,3,0,111,8,Low,92,0,23,127,2,65,1,28,137,2,18,3,75,Medium,60,0,Senior Consultant,0
2358,26,Other,MBA,Consulting,Senior Consultant,157,4,0,90,6,Mid,81,1,15,245,1,45,4,17,129,3,19,1,98,Medium,100,0,Manager,0
2359,50,Female,Bachelor,Audit,Manager,226,3,0,155,9,High,74,0,20,80,1,87,2,3,189,3,15,4,87,Medium,37,0,Senior Manager,0
2360,58,Other,Bachelor,Technology,Manager,98,3,0,57,4,Low,77,0,15,112,5,37,4,17,187,2,17,4,73,Low,88,0,Senior Manager,0
2361,41,Female,MBA,Audit,Consultant,45,4,0,151,7,High,97,0,6,175,1,4,3,0,96,1,6,5,42,Low,76,0,Senior Consultant,0
2362,42,Female,Master,Tax,Manager,173,2,0,58,9,Mid,71,0,29,184,5,25,2,29,24,1,3,5,18,Low,52,1,Senior Manager,0
2363,31,Male,Bachelor,Technology,Senior Consultant,67,5,0,36,1,High,69,0,2,120,1,76,1,7,31,4,12,3,44,High,69,0,Manager,0
2364,26,Male,Master,Audit,Manager,21,3,0,103,5,Mid,97,0,26,244,4,17,4,25,67,0,17,2,39,Medium,19,0,Senior Manager,0
2365,57,Male,MBA,Risk Advisory,Partner,230,3,0,37,7,High,98,1,27,164,4,58,2,5,138,3,8,4,100,Medium,14,0,Partner,0
2366,27,Female,Bachelor,Risk Advisory,Senior Consultant,149,4,1,152,6,High,14,0,18,171,5,15,1,15,236,3,3,2,48,Medium,80,1,Manager,0
2367,47,Male,MBA,Tax,Analyst,188,5,0,14,3,High,85,0,27,179,3,91,5,1,46,0,2,4,70,Low,80,0,Consultant,0
2368,25,Female,Bachelor,Consulting,Consultant,209,3,0,143,0,Mid,82,0,7,178,5,13,4,29,223,4,7,1,71,Low,90,0,Senior Consultant,0
2369,56,Male,MBA,Consulting,Senior Consultant,29,1,0,54,2,Mid,78,0,2,177,4,65,4,14,120,1,7,4,5,Low,30,0,Manager,0
2370,22,Female,Master,Audit,Analyst,33,5,1,131,4,Mid,91,1,13,135,2,42,5,28,98,1,2,2,28,Medium,51,0,Consultant,0
2371,45,Male,Bachelor,Technology,Analyst,167,3,0,25,5,Mid,39,0,20,152,3,69,4,0,43,1,4,1,86,Low,25,0,Consultant,0
2372,57,Male,MBA,Consulting,Senior Consultant,190,5,0,38,2,Mid,48,0,23,197,1,68,4,3,204,3,4,5,26,High,16,0,Manager,0
2373,27,Male,MBA,Risk Advisory,Analyst,90,1,0,184,1,Mid,26,0,3,197,2,78,1,28,237,1,2,4,17,Medium,76,0,Consultant,0
2374,52,Male,PhD,Consulting,Analyst,126,1,1,126,2,Low,28,0,5,242,2,81,2,28,157,3,7,5,27,High,32,0,Consultant,0
2375,41,Male,Bachelor,Risk Advisory,Partner,199,5,0,127,4,Low,65,1,4,217,1,32,4,25,38,0,13,1,80,Low,82,0,Partner,0
2376,45,Female,Master,Consulting,Manager,45,2,0,46,2,Low,13,0,21,236,5,59,1,21,87,2,19,1,44,Medium,88,0,Senior Manager,0
2377,46,Male,Master,Tax,Partner,186,5,0,175,7,Low,99,0,24,197,4,34,4,17,114,3,18,2,73,Medium,70,0,Partner,0
2378,57,Male,Master,Technology,Manager,73,4,0,91,6,Low,86,1,28,157,3,88,3,4,184,0,9,5,30,Medium,0,0,Senior Manager,0
2379,42,Female,MBA,Audit,Analyst,82,2,0,176,8,Low,45,1,24,149,4,39,3,18,119,4,2,4,4,High,69,1,Consultant,0
2380,51,Male,Bachelor,Risk Advisory,Manager,129,1,0,164,2,Mid,3,0,1,165,3,25,1,8,178,4,7,2,82,Medium,86,1,Senior Manager,0
2381,45,Other,Bachelor,Consulting,Partner,11,2,0,37,7,Mid,50,0,12,95,4,21,4,3,194,1,8,4,47,Medium,41,1,Partner,0
2382,51,Other,Master,Audit,Consultant,214,1,0,99,8,Low,85,0,29,226,4,99,1,4,155,0,11,2,57,Low,94,0,Senior Consultant,0
2383,43,Male,Bachelor,Risk Advisory,Consultant,160,1,1,61,7,High,1,0,2,120,5,10,4,15,216,4,2,2,29,Low,41,1,Senior Consultant,0
2384,49,Male,PhD,Risk Advisory,Manager,107,1,0,60,4,Mid,99,0,18,198,5,10,1,27,227,2,15,2,78,Low,9,1,Senior Manager,0
2385,28,Male,Master,Tax,Consultant,202,4,0,117,5,Low,52,0,4,139,1,49,4,26,34,0,17,4,31,Medium,87,0,Senior Consultant,0
2386,56,Female,Master,Consulting,Senior Consultant,177,4,0,7,9,Low,38,0,28,109,2,61,3,18,223,0,15,4,61,Medium,61,0,Manager,0
2387,49,Female,MBA,Audit,Consultant,91,3,1,37,8,Mid,10,1,0,86,5,84,1,9,59,3,11,2,21,High,68,0,Senior Consultant,0
2388,35,Female,Master,Consulting,Manager,204,4,0,105,1,High,88,0,26,133,3,44,1,11,163,0,4,5,30,Medium,53,0,Senior Manager,0
2389,31,Female,Master,Consulting,Analyst,158,1,1,35,8,Mid,63,1,21,158,3,88,3,12,41,4,14,1,6,Low,55,0,Consultant,0
2390,37,Male,Bachelor,Technology,Partner,60,5,1,55,0,Low,52,0,21,147,4,47,2,15,184,2,12,5,38,High,0,0,Partner,0
2391,37,Female,Bachelor,Risk Advisory,Consultant,138,2,0,44,9,Mid,8,0,25,143,2,50,1,26,61,0,10,4,23,Low,58,0,Senior Consultant,0
2392,52,Female,Bachelor,Risk Advisory,Manager,204,5,0,49,5,Mid,58,0,17,242,4,25,3,27,51,3,8,4,61,Low,68,0,Senior Manager,0
2393,46,Female,Master,Technology,Partner,102,1,1,19,0,High,49,0,4,193,2,91,4,20,145,2,15,3,15,Low,59,0,Partner,0
2394,34,Female,Master,Technology,Senior Consultant,149,5,0,190,0,Low,4,0,7,148,4,12,1,20,153,2,8,3,26,Low,12,1,Manager,0
2395,27,Female,Bachelor,Consulting,Analyst,219,2,0,182,2,High,34,0,8,156,2,22,2,20,31,2,9,5,86,Medium,51,1,Consultant,0
2396,30,Male,Master,Risk Advisory,Partner,6,3,0,161,3,High,32,0,11,176,5,81,2,22,183,4,14,4,55,High,51,0,Partner,0
2397,57,Male,Bachelor,Audit,Partner,166,3,0,101,3,High,25,0,18,163,5,95,3,3,30,0,4,3,34,Low,95,0,Partner,0
2398,41,Female,PhD,Tax,Manager,125,4,0,106,9,Mid,31,0,10,151,5,88,3,20,27,2,12,4,12,Medium,95,0,Senior Manager,0
2399,39,Male,Bachelor,Technology,Senior Consultant,116,5,0,91,9,Mid,10,1,1,96,5,30,5,19,169,3,12,2,34,Low,35,1,Manager,0
2400,42,Other,MBA,Audit,Consultant,186,4,0,31,4,High,35,0,15,80,1,75,1,4,207,4,8,1,88,High,76,0,Senior Consultant,1
2401,25,Male,Master,Audit,Senior Consultant,8,4,0,42,5,High,40,1,17,169,3,68,2,19,141,2,16,1,33,Medium,83,0,Manager,0
2402,54,Female,Master,Consulting,Analyst,229,5,0,78,3,Low,77,0,1,86,5,53,3,18,79,1,13,5,59,Medium,17,0,Consultant,0
